// Compost colors for oldguns. You may add your own colors, change existing ones, or remove colors that aren't needed.
bark_strands, #987a47
blasting_powder, #4b4a43
blasting_powder_stick, #ab9a62
brass_ingot, #a88d4a
brass_nugget, #a78e5a
caplock_arquebus, #ffffff
caplock_blunderbuss, #f0eee1
caplock_blunderbuss_pistol, #66694e
caplock_caliver, #f7f4e3
caplock_derringer, #ffffff
caplock_doublebarrel_blunderbuss, #61654a
caplock_duckfoot_derringer, #646251
caplock_long_musket, #d2d0be
caplock_mechanism, #ffffff
caplock_musket, #cdd2c0
caplock_musketoon, #dad9c6
caplock_pepperbox_pistol, #626651
caplock_pistol, #ffffff
caplock_repair_parts, #ffffff
congreve_rocket_stand, #544d43
design_notes, #fffff0
diamond_gear_set, #ffffff
diamond_trigger_assembly, #ffffff
flintlock_arquebus, #ffffff
flintlock_blunderbuss, #f5eedd
flintlock_blunderbuss_pistol, #72663d
flintlock_caliver, #fcf4de
flintlock_derringer, #695a36
flintlock_doublebarrel_blunderbuss, #70643d
flintlock_duckfoot_derringer, #686148
flintlock_long_musket, #dad2b8
flintlock_mechanism, #ffffff
flintlock_musket, #e1d9c0
flintlock_musketoon, #e4dac0
flintlock_nock_gun, #d9d2bf
flintlock_pepperbox_pistol, #ffffff
flintlock_pistol, #ffffff
flintlock_repair_parts, #ffffff
fuse, #483c2f
gold_gear_set, #ffffe3
gold_trigger_assembly, #fffff0
gunners_quadrant, #dad6cd
hacksaw, #ffffff
high_grade_black_powder, #232323
horsemans_pot_helm, #9a9a9a
iron_bits, #ffffff
iron_gear_set, #ffffff
iron_trigger_assembly, #ffffff
large_brass_barrel, #cfcabf
large_brass_flared_barrel, #d3cfc5
large_iron_barrel, #c9c8c5
large_iron_birdshot, #ffffff
large_iron_buckshot, #ffffff
large_iron_cannon_barrel, #fbfbfb
large_iron_flared_barrel, #cccccc
large_iron_musket_ball, #ffffff
large_iron_musket_ball_high_grade_paper_cartridge, #fffffc
large_iron_musket_ball_medium_grade_paper_cartridge, #fffffc
large_lead_birdshot, #ffffff
large_lead_buckshot, #ffffff
large_lead_musket_ball, #ffffff
large_lead_musket_ball_high_grade_paper_cartridge, #f8f7f7
large_lead_musket_ball_medium_grade_paper_cartridge, #f8f7f7
large_powder_charge, #d9d7be
large_stone_barrel, #ffffff
large_stone_birdshot, #eeeeee
large_stone_flared_barrel, #ffffff
large_stone_musket_ball, #ffffff
large_stone_musket_ball_low_grade_paper_cartridge, #ebeae6
large_stone_musket_ball_medium_grade_paper_cartridge, #ebeae6
large_wooden_carriage_wheel, #b9a27a
large_wooden_handle, #ffffff
large_wooden_naval_carriage, #e4dac9
large_wooden_stock, #ffffff
lead_bits, #ffffff
lead_ingot, #9d8ea8
lead_nugget, #8c7fa5
