// Compost colors for spartanfire. You may add your own colors, change existing ones, or remove colors that aren't needed.
desert_myrmex_chitin_battle_hammer, #753a0e
desert_myrmex_chitin_battleaxe, #b1947f
desert_myrmex_chitin_boomerang, #834d18
desert_myrmex_chitin_dagger, #794415
desert_myrmex_chitin_flanged_mace, #ccaf94
desert_myrmex_chitin_glaive, #fffcf4
desert_myrmex_chitin_greatsword, #ffffff
desert_myrmex_chitin_halberd, #faeade
desert_myrmex_chitin_heavy_crossbow, #6b462d
desert_myrmex_chitin_javelin, #fffffe
desert_myrmex_chitin_katana, #7f3e0e
desert_myrmex_chitin_lance, #ffffff
desert_myrmex_chitin_longbow, #764832
desert_myrmex_chitin_longsword, #76390c
desert_myrmex_chitin_parrying_dagger, #89988c
desert_myrmex_chitin_pike, #3c2d20
desert_myrmex_chitin_quarterstaff, #502811
desert_myrmex_chitin_rapier, #fffff1
desert_myrmex_chitin_saber, #75340b
desert_myrmex_chitin_scythe, #808750
desert_myrmex_chitin_spear, #fffff7
desert_myrmex_chitin_throwing_knife, #ffffe8
desert_myrmex_chitin_tomahawk, #e7d4c9
desert_myrmex_chitin_warhammer, #e6d0bf
desert_myrmex_stinger_battle_hammer, #545826
desert_myrmex_stinger_battleaxe, #a59882
desert_myrmex_stinger_boomerang, #726126
desert_myrmex_stinger_dagger, #645b28
desert_myrmex_stinger_flanged_mace, #d2d0a7
desert_myrmex_stinger_glaive, #fffcf5
desert_myrmex_stinger_greatsword, #ffffff
desert_myrmex_stinger_halberd, #f2ede1
desert_myrmex_stinger_heavy_crossbow, #694830
desert_myrmex_stinger_javelin, #ffffff
desert_myrmex_stinger_katana, #574820
desert_myrmex_stinger_lance, #ffffff
desert_myrmex_stinger_longbow, #6f4836
desert_myrmex_stinger_longsword, #52481f
desert_myrmex_stinger_parrying_dagger, #7f9d8d
desert_myrmex_stinger_pike, #333629
desert_myrmex_stinger_quarterstaff, #483318
desert_myrmex_stinger_rapier, #fffff2
desert_myrmex_stinger_saber, #54471e
desert_myrmex_stinger_scythe, #7f6c4a
desert_myrmex_stinger_spear, #fffffa
desert_myrmex_stinger_throwing_knife, #ffffeb
desert_myrmex_stinger_tomahawk, #dddacc
desert_myrmex_stinger_warhammer, #d9d4c2
dragon_bone_battle_hammer, #b4afa0
dragon_bone_battleaxe, #deded3
dragon_bone_boomerang, #c8c0ab
dragon_bone_dagger, #aaaa9b
dragon_bone_flanged_mace, #d3d2ca
dragon_bone_glaive, #ffffff
dragon_bone_greatsword, #ffffff
dragon_bone_halberd, #ffffff
dragon_bone_heavy_crossbow, #969080
dragon_bone_javelin, #ffffff
dragon_bone_katana, #bcb8a8
dragon_bone_lance, #ffffff
dragon_bone_longbow, #8e906e
dragon_bone_longsword, #c3bfac
dragon_bone_parrying_dagger, #a4a798
dragon_bone_pike, #8a8780
dragon_bone_quarterstaff, #ccc8b1
dragon_bone_rapier, #ffffff
dragon_bone_saber, #c6c3b1
dragon_bone_scythe, #a7b4ab
dragon_bone_spear, #ffffff
dragon_bone_throwing_knife, #d0d7cd
dragon_bone_tomahawk, #fcfef5
dragon_bone_warhammer, #ffffff
fire_dragonsteel_battle_hammer, #433d40
fire_dragonsteel_battleaxe, #968d91
fire_dragonsteel_boomerang, #6b584b
fire_dragonsteel_dagger, #525154
fire_dragonsteel_flanged_mace, #a7a5a7
fire_dragonsteel_glaive, #fbfafb
fire_dragonsteel_greatsword, #ffffff
fire_dragonsteel_halberd, #dad7da
fire_dragonsteel_heavy_crossbow, #514d50
fire_dragonsteel_javelin, #ffffff
fire_dragonsteel_katana, #655e62
fire_dragonsteel_lance, #ffffff
fire_dragonsteel_longbow, #5c5c5e
fire_dragonsteel_longsword, #5b555a
fire_dragonsteel_parrying_dagger, #3d3d3e
fire_dragonsteel_pike, #323033
fire_dragonsteel_quarterstaff, #363437
fire_dragonsteel_rapier, #ffffff
fire_dragonsteel_saber, #504a50
fire_dragonsteel_scythe, #4a4b50
fire_dragonsteel_spear, #fefeff
fire_dragonsteel_throwing_knife, #4b4747
fire_dragonsteel_tomahawk, #d3cdcd
fire_dragonsteel_warhammer, #c8c6c8
flamed_dragon_bone_battle_hammer, #ea8a34
flamed_dragon_bone_battleaxe, #fbb684
flamed_dragon_bone_boomerang, #e88325
flamed_dragon_bone_dagger, #dc8932
flamed_dragon_bone_flanged_mace, #ebc39b
flamed_dragon_bone_glaive, #ffffd4
flamed_dragon_bone_greatsword, #ffffff
flamed_dragon_bone_halberd, #ffffee
flamed_dragon_bone_heavy_crossbow, #af7a4e
flamed_dragon_bone_javelin, #fffffa
flamed_dragon_bone_katana, #ca8637
flamed_dragon_bone_lance, #ffffff
flamed_dragon_bone_longbow, #c3874a
flamed_dragon_bone_longsword, #eb8023
flamed_dragon_bone_parrying_dagger, #ca8637
flamed_dragon_bone_pike, #9b704e
flamed_dragon_bone_quarterstaff, #fb911f
flamed_dragon_bone_rapier, #fffff2
flamed_dragon_bone_saber, #e38c2f
flamed_dragon_bone_scythe, #cd833e
flamed_dragon_bone_spear, #ffffed
flamed_dragon_bone_throwing_knife, #f5b66f
flamed_dragon_bone_tomahawk, #ffe4c6
flamed_dragon_bone_warhammer, #ffffde
ice_dragonsteel_battle_hammer, #58656e
ice_dragonsteel_battleaxe, #b6c3cd
ice_dragonsteel_boomerang, #727066
ice_dragonsteel_dagger, #656e75
ice_dragonsteel_flanged_mace, #b4b8bc
ice_dragonsteel_glaive, #ffffff
ice_dragonsteel_greatsword, #ffffff
ice_dragonsteel_halberd, #ebf2f8
ice_dragonsteel_heavy_crossbow, #687078
ice_dragonsteel_javelin, #ffffff
ice_dragonsteel_katana, #697278
ice_dragonsteel_lance, #ffffff
ice_dragonsteel_longbow, #666b6e
ice_dragonsteel_longsword, #62696f
ice_dragonsteel_parrying_dagger, #4b5258
ice_dragonsteel_pike, #393c3e
ice_dragonsteel_quarterstaff, #50585e
ice_dragonsteel_rapier, #ffffff
ice_dragonsteel_saber, #646e78
ice_dragonsteel_scythe, #697980
ice_dragonsteel_spear, #ffffff
ice_dragonsteel_throwing_knife, #5f6468
ice_dragonsteel_tomahawk, #e3e7ea
ice_dragonsteel_warhammer, #4b5258
iced_dragon_bone_battle_hammer, #b9feff
iced_dragon_bone_battleaxe, #d6ffff
iced_dragon_bone_boomerang, #b1fcff
iced_dragon_bone_dagger, #9ef4ff
iced_dragon_bone_flanged_mace, #e0ffff
iced_dragon_bone_glaive, #feffff
iced_dragon_bone_greatsword, #ffffff
iced_dragon_bone_halberd, #ffffff
iced_dragon_bone_heavy_crossbow, #a4e0ed
iced_dragon_bone_javelin, #ffffff
iced_dragon_bone_katana, #e8ffff
iced_dragon_bone_lance, #ffffff
iced_dragon_bone_longbow, #b6e0d6
iced_dragon_bone_longsword, #faffff
iced_dragon_bone_parrying_dagger, #a4f0fa
iced_dragon_bone_pike, #90c3ca
iced_dragon_bone_quarterstaff, #bbffff
iced_dragon_bone_rapier, #ffffff
iced_dragon_bone_saber, #a0f1ff
iced_dragon_bone_scythe, #9ad6e4
iced_dragon_bone_spear, #ffffff
iced_dragon_bone_throwing_knife, #d0ffff
iced_dragon_bone_tomahawk, #f2ffff
iced_dragon_bone_warhammer, #ffffff
jungle_myrmex_chitin_battle_hammer, #155e5f
jungle_myrmex_chitin_battleaxe, #86a7a4
jungle_myrmex_chitin_boomerang, #3c827c
jungle_myrmex_chitin_dagger, #1b6564
jungle_myrmex_chitin_flanged_mace, #c3e6e6
jungle_myrmex_chitin_glaive, #f7ffff
jungle_myrmex_chitin_greatsword, #ffffff
jungle_myrmex_chitin_halberd, #e1f5f4
jungle_myrmex_chitin_heavy_crossbow, #366564
jungle_myrmex_chitin_javelin, #feffff
jungle_myrmex_chitin_katana, #237876
jungle_myrmex_chitin_lance, #ffffff
jungle_myrmex_chitin_longbow, #396b65
jungle_myrmex_chitin_longsword, #f514b
jungle_myrmex_chitin_parrying_dagger, #265b5b
jungle_myrmex_chitin_pike, #233736
jungle_myrmex_chitin_quarterstaff, #164a43
jungle_myrmex_chitin_rapier, #f4ffff
jungle_myrmex_chitin_saber, #155752
jungle_myrmex_chitin_scythe, #4ba57c
jungle_myrmex_chitin_spear, #f8ffff
jungle_myrmex_chitin_throwing_knife, #c6f1f1
jungle_myrmex_chitin_tomahawk, #cddeda
jungle_myrmex_chitin_warhammer, #bfd9d9
jungle_myrmex_stinger_battle_hammer, #29644a
jungle_myrmex_stinger_battleaxe, #8ca89a
jungle_myrmex_stinger_boomerang, #478672
jungle_myrmex_stinger_dagger, #296955
jungle_myrmex_stinger_flanged_mace, #cdeeda
jungle_myrmex_stinger_glaive, #f7fffc
jungle_myrmex_stinger_greatsword, #ffffff
jungle_myrmex_stinger_halberd, #e3f2ed
jungle_myrmex_stinger_heavy_crossbow, #396862
jungle_myrmex_stinger_javelin, #feffff
jungle_myrmex_stinger_katana, #255c41
jungle_myrmex_stinger_lance, #ffffff
jungle_myrmex_stinger_longbow, #3a665e
jungle_myrmex_stinger_longsword, #225744
jungle_myrmex_stinger_parrying_dagger, #306150
jungle_myrmex_stinger_pike, #293c33
jungle_myrmex_stinger_quarterstaff, #1e4d3e
jungle_myrmex_stinger_rapier, #f4ffff
jungle_myrmex_stinger_saber, #225036
jungle_myrmex_stinger_scythe, #419669
jungle_myrmex_stinger_spear, #f8ffff
jungle_myrmex_stinger_throwing_knife, #ddfcea
jungle_myrmex_stinger_tomahawk, #d0ded3
jungle_myrmex_stinger_warhammer, #c2dad2
lightning_dragon_bone_battle_hammer, #ebc9fe
lightning_dragon_bone_battleaxe, #ffeeff
lightning_dragon_bone_boomerang, #ffc8ff
lightning_dragon_bone_dagger, #e7c8fe
lightning_dragon_bone_flanged_mace, #eee0f5
lightning_dragon_bone_glaive, #ffffff
lightning_dragon_bone_greatsword, #ffffff
lightning_dragon_bone_halberd, #ffffff
lightning_dragon_bone_heavy_crossbow, #cfb1dd
lightning_dragon_bone_javelin, #ffffff
lightning_dragon_bone_katana, #d6b5e8
lightning_dragon_bone_lance, #ffffff
lightning_dragon_bone_longbow, #d9c3ed
lightning_dragon_bone_longsword, #edb6ff
lightning_dragon_bone_parrying_dagger, #d4b4ee
lightning_dragon_bone_pike, #c0a2d3
lightning_dragon_bone_quarterstaff, #f7d2ff
lightning_dragon_bone_rapier, #ffffff
lightning_dragon_bone_saber, #e7c0ff
lightning_dragon_bone_scythe, #d6b4eb
lightning_dragon_bone_spear, #ffffff
lightning_dragon_bone_throwing_knife, #f5ddff
lightning_dragon_bone_tomahawk, #fffeff
lightning_dragon_bone_warhammer, #ffffff
lightning_dragonsteel_battle_hammer, #474052
lightning_dragonsteel_battleaxe, #978ca1
lightning_dragonsteel_boomerang, #685254
lightning_dragonsteel_dagger, #5a4d5a
lightning_dragonsteel_flanged_mace, #aca5ae
lightning_dragonsteel_glaive, #fffafe
lightning_dragonsteel_greatsword, #ffffff
lightning_dragonsteel_halberd, #ded7e3
lightning_dragonsteel_heavy_crossbow, #4a434e
lightning_dragonsteel_javelin, #ffffff
lightning_dragonsteel_katana, #5f5166
lightning_dragonsteel_lance, #ffffff
lightning_dragonsteel_longbow, #615a5a
lightning_dragonsteel_longsword, #6b576c
lightning_dragonsteel_parrying_dagger, #4a3e40
lightning_dragonsteel_pike, #333037
lightning_dragonsteel_quarterstaff, #433d52
lightning_dragonsteel_rapier, #ffffff
lightning_dragonsteel_saber, #504357
lightning_dragonsteel_scythe, #4b4662
lightning_dragonsteel_spear, #fffeff
lightning_dragonsteel_throwing_knife, #4e4351
lightning_dragonsteel_tomahawk, #d0cad4
lightning_dragonsteel_warhammer, #4a3e46
witherbone_handle, #ffffff
witherbone_pole, #ffffff
